,windBearing
1969-12-31 16:07:58,301.0
1969-12-31 16:07:59,301.0
1969-12-31 16:08:00,302.0
1969-12-31 16:08:01,291.0
1969-12-31 16:08:02,304.0
1969-12-31 16:08:03,295.0
1969-12-31 16:08:04,286.0
1969-12-31 16:08:05,294.0
1969-12-31 16:08:06,279.0
1969-12-31 16:08:07,287.0
1969-12-31 16:08:08,288.0
1969-12-31 16:08:09,290.0
1969-12-31 16:08:10,287.0
1969-12-31 16:08:11,284.0
1969-12-31 16:08:12,280.0
1969-12-31 16:08:13,290.0
1969-12-31 16:08:14,287.0
1969-12-31 16:08:15,286.0
1969-12-31 16:08:16,292.0
1969-12-31 16:08:17,293.0
1969-12-31 16:08:18,290.0
1969-12-31 16:08:19,293.0
1969-12-31 16:08:20,282.0
1969-12-31 16:08:21,299.0
1969-12-31 16:08:22,284.0
1969-12-31 16:08:23,318.0
1969-12-31 16:08:24,320.0
1969-12-31 16:08:25,296.0
1969-12-31 16:08:26,302.0
1969-12-31 16:08:27,295.0
1969-12-31 16:08:28,293.0
1969-12-31 16:08:29,297.0
1969-12-31 16:08:30,297.0
1969-12-31 16:08:31,285.0
1969-12-31 16:08:32,289.0
1969-12-31 16:08:33,290.0
1969-12-31 16:08:34,308.0
1969-12-31 16:08:35,290.0
1969-12-31 16:08:36,284.0
1969-12-31 16:08:37,285.0
1969-12-31 16:08:38,273.0
1969-12-31 16:08:39,272.0
1969-12-31 16:08:40,268.0
1969-12-31 16:08:41,284.0
1969-12-31 16:08:42,281.0
1969-12-31 16:08:43,275.0
1969-12-31 16:08:44,269.0
1969-12-31 16:08:45,269.0
1969-12-31 16:08:46,270.0
1969-12-31 16:08:47,268.0
1969-12-31 16:08:48,268.0
1969-12-31 16:08:49,270.0
1969-12-31 16:08:50,269.0
1969-12-31 16:08:51,303.0
1969-12-31 16:08:52,287.0
1969-12-31 16:08:53,285.0
1969-12-31 16:08:54,278.0
1969-12-31 16:08:55,285.0
1969-12-31 16:08:56,271.0
1969-12-31 16:08:57,258.0
1969-12-31 16:08:58,271.0
1969-12-31 16:08:59,278.0
1969-12-31 16:09:00,274.0
1969-12-31 16:09:01,279.0
1969-12-31 16:09:02,267.0
1969-12-31 16:09:03,272.0
1969-12-31 16:09:04,275.0
1969-12-31 16:09:05,269.0
1969-12-31 16:09:06,269.0
1969-12-31 16:09:07,265.0
1969-12-31 16:09:08,265.0
1969-12-31 16:09:09,260.0
1969-12-31 16:09:10,257.0
1969-12-31 16:09:11,251.0
1969-12-31 16:09:12,259.0
1969-12-31 16:09:13,253.0
1969-12-31 16:09:14,259.0
1969-12-31 16:09:15,264.0
1969-12-31 16:09:16,277.0
1969-12-31 16:09:17,280.0
1969-12-31 16:09:18,274.0
1969-12-31 16:09:19,277.0
1969-12-31 16:09:20,281.0
1969-12-31 16:09:21,279.0
1969-12-31 16:09:22,294.0
1969-12-31 16:09:23,285.0
1969-12-31 16:09:24,285.0
1969-12-31 16:09:25,289.0
1969-12-31 16:09:26,286.0
1969-12-31 16:09:27,265.0
1969-12-31 16:09:28,283.0
1969-12-31 16:09:29,272.0
1969-12-31 16:09:30,267.0
1969-12-31 16:09:31,273.0
1969-12-31 16:09:32,260.0
1969-12-31 16:09:33,263.0
1969-12-31 16:09:34,287.0
1969-12-31 16:09:35,274.0
1969-12-31 16:09:36,278.0
1969-12-31 16:09:37,277.0
1969-12-31 16:09:38,273.0
1969-12-31 16:09:39,286.0
1969-12-31 16:09:40,286.0
1969-12-31 16:09:41,304.0
1969-12-31 16:09:42,310.0
1969-12-31 16:09:43,294.0
1969-12-31 16:09:44,328.0
1969-12-31 16:09:45,328.0
1969-12-31 16:09:46,332.0
1969-12-31 16:09:47,357.0
1969-12-31 16:09:48,349.0
1969-12-31 16:09:49,25.0
1969-12-31 16:09:50,353.0
1969-12-31 16:09:51,335.0
1969-12-31 16:09:52,307.0
1969-12-31 16:09:53,312.0
1969-12-31 16:09:54,297.0
1969-12-31 16:09:55,296.0
1969-12-31 16:09:56,285.0
1969-12-31 16:09:57,286.0
1969-12-31 16:09:58,286.0
1969-12-31 16:09:59,287.0
1969-12-31 16:10:00,295.0
1969-12-31 16:10:01,305.0
1969-12-31 16:10:02,291.0
1969-12-31 16:10:03,300.0
1969-12-31 16:10:04,270.0
1969-12-31 16:10:05,293.0
1969-12-31 16:10:06,276.0
1969-12-31 16:10:07,219.0
1969-12-31 16:10:08,153.0
1969-12-31 16:10:09,137.0
1969-12-31 16:10:10,110.0
1969-12-31 16:10:11,104.0
1969-12-31 16:10:12,98.0
1969-12-31 16:10:13,101.0
1969-12-31 16:10:14,113.0
1969-12-31 16:10:15,102.0
1969-12-31 16:10:16,58.0
1969-12-31 16:10:17,313.0
