,carbon_intensity
389,0.20178880300000002
390,0.20053963100000002
391,0.198350375
392,0.19609718199999998
393,0.195175687
394,0.19344618100000002
395,0.19668099600000002
396,0.193805762
397,0.191742672
398,0.191238771
399,0.19001652800000002
400,0.188556533
401,0.188864735
402,0.188373364
403,0.188100863
404,0.186921311
405,0.18781468199999998
406,0.18784599600000002
407,0.188680243
408,0.189827893
409,0.189227393
410,0.18719155699999998
411,0.188054256
412,0.185832652
413,0.185805345
414,0.18574717
415,0.185074237
416,0.184024379
417,0.18335180899999998
418,0.18170357
419,0.18093544
420,0.18066154
421,0.181623592
422,0.181557558
423,0.18184450800000002
424,0.182787535
425,0.182693393
426,0.182239215
427,0.18160461600000002
428,0.181022719
429,0.180681822
430,0.18207648
431,0.181263813
432,0.18192080600000002
433,0.182682486
434,0.182030096
435,0.18121965899999998
436,0.179284103
437,0.179621788
438,0.179750187
439,0.179333015
440,0.17856211600000002
441,0.17963900000000002
442,0.17929945100000003
443,0.180015378
444,0.180099819
445,0.18020873199999998
446,0.17956662399999998
447,0.180097555
448,0.18159509100000001
449,0.18361862899999998
450,0.185762987
451,0.18829805
452,0.191137593
453,0.19459089100000002
454,0.199105776
455,0.202816193
456,0.20692350199999998
457,0.21020022
458,0.212320941
459,0.21629895899999999
460,0.222774165
461,0.23072663
462,0.241569416
463,0.251601173
464,0.259934215
465,0.266949213
466,0.275862432
467,0.28427516
468,0.293660517
469,0.298057489
470,0.29794909399999997
471,0.300840595
472,0.311225858
473,0.321486266
474,0.329163249
475,0.331896244
476,0.336952143
477,0.346991845
478,0.35640834600000004
479,0.361332861
480,0.36768406
481,0.373072489
482,0.371559061
483,0.374479038
484,0.37774900299999997
485,0.38207867100000004
486,0.386964487
487,0.389354993
488,0.39043611899999997
489,0.388934025
490,0.38801174200000005
491,0.388058345
492,0.388819996
493,0.387248174
494,0.384643622
495,0.38629527399999997
496,0.38720996399999996
497,0.38680598200000005
498,0.38557714299999996
499,0.383355089
500,0.383104895
501,0.38308496799999997
502,0.381945706
503,0.379672601
504,0.38094862799999996
505,0.379140346
506,0.373652857
507,0.367439605
508,0.36678257799999997
509,0.367585541
510,0.368304554
511,0.369025131
512,0.36958626299999997
513,0.371334276
514,0.37023072
515,0.370044446
516,0.367800202
517,0.365405955
518,0.36391189700000004
519,0.36436744299999996
520,0.36450547
521,0.362178923
522,0.358401222
523,0.35799055700000004
524,0.358810577
525,0.35683368200000004
526,0.354641735
527,0.353772297
528,0.35350502100000003
529,0.354790706
530,0.35960045399999996
531,0.36265473200000004
532,0.362137062
533,0.35904615799999995
534,0.355079848
535,0.352666745
536,0.348574536
537,0.347940941
538,0.3469562
539,0.346894214
540,0.34755374
541,0.348768626
542,0.352341795
543,0.351788731
544,0.352301839
545,0.352045338
546,0.350971146
547,0.34937910200000005
548,0.34838702899999996
549,0.34662371700000005
550,0.344117141
551,0.34326768799999996
552,0.343503546
553,0.34238294700000005
554,0.343863501
555,0.343000521
556,0.34005187299999995
557,0.33924569200000004
558,0.337567313
559,0.3338413
560,0.331863756
561,0.331046561
562,0.33082094
563,0.331224599
564,0.331518687
565,0.329287781
566,0.32949759
567,0.330761855
568,0.329317795
569,0.32982594600000004
570,0.327840684
571,0.32696061
572,0.325054524
573,0.32594838
574,0.326769892
575,0.326016843
576,0.327292399
577,0.327361564
578,0.329677799
579,0.330153972
580,0.328830884
581,0.32371134
582,0.323290686
583,0.323972792
584,0.324355433
585,0.327982286
586,0.32800074
587,0.325944818
588,0.32383383600000004
589,0.32807996300000003
590,0.328752495
591,0.329687138
592,0.330096636
593,0.32880358600000004
594,0.328530664
595,0.328117702
596,0.329052445
597,0.329404612
598,0.329842686
599,0.329834591
600,0.330301894
601,0.33022798600000003
602,0.330217341
603,0.329938329
604,0.331090867
605,0.330929525
606,0.329934995
607,0.329799159
608,0.33047250300000003
609,0.330597015
610,0.330243175
611,0.330465516
612,0.32993607
613,0.329363072
614,0.330142445
615,0.329966176
616,0.330532469
617,0.33049264
618,0.329585128
619,0.33059455600000004
620,0.332883976
621,0.338002245
622,0.33579253299999995
623,0.336595783
624,0.335878536
625,0.334728033
626,0.33367898
627,0.333074367
628,0.331971619
629,0.331343538
630,0.333771353
631,0.333137164
632,0.33407116600000003
633,0.332170736
634,0.332269695
635,0.328615511
636,0.32729276399999996
637,0.325308444
638,0.326414197
639,0.32632613
640,0.327994674
641,0.32723955899999996
642,0.329806541
643,0.330689047
644,0.33116463100000004
645,0.331789889
646,0.331715272
647,0.333383754
648,0.334830528
649,0.332874316
650,0.33605341200000005
651,0.334308461
652,0.33171886
653,0.32995899100000003
654,0.328218023
655,0.323870968
656,0.321817444
657,0.31749787399999996
658,0.312518529
659,0.30731346
660,0.300808785
661,0.294613984
662,0.292973814
663,0.285214804
664,0.274337934
665,0.268921697
666,0.260794538
667,0.25414863600000004
668,0.24888468800000002
669,0.243196119
670,0.24002895100000002
671,0.23601271399999998
672,0.232936539
673,0.23005731100000001
674,0.23167235
675,0.23001745199999998
676,0.22632542600000002
677,0.221028366
678,0.218162511
679,0.215059268
680,0.21456545
681,0.21734633
682,0.21584830300000002
683,0.215202053
684,0.21475159
685,0.214612057
686,0.213829357
687,0.21448806199999998
688,0.214926342
689,0.21384853899999998
690,0.210231455
691,0.212646504
692,0.21266354
693,0.21143210899999998
694,0.21073731199999998
695,0.211056532
696,0.209871891
697,0.20975793899999998
698,0.210479946
699,0.211902957
700,0.21222095600000002
701,0.2121135
702,0.210769557
703,0.21116587399999998
704,0.211135706
705,0.210722073
706,0.209026027
